Interview_ID,Candidate_ID,Requisition_ID,Stage_Name,Interviewer_ID,Interviewer_Role,Scheduled_Date,Feedback_Submitted_Date,Turnaround_Hours,SLA_Met,BARS_Score_1,BARS_Score_2,BARS_Score_3,BARS_Score_4,Mean_BARS_Score,Notes_Summary
INT-2026-0342,CAND-2026-0086,REQ-2026-ENG-G4,Structured Interview A,APD-INT-042,Hiring Manager,2026-01-29,2026-01-31,37.0,Yes,4.0,3.2,3.4,3.8,3.60,Behavioral evidence mapped to published BARS anchors
INT-2026-0343,CAND-2026-0086,REQ-2026-ENG-G4,Structured Interview B,APD-INT-043,Cross-functional Panelist,2026-01-31,2026-02-02,48.0,Yes,4.0,3.2,3.4,3.8,3.60,Independent follow-up evidence locked before panel release
INT-2026-0344,CAND-2026-0086,REQ-2026-ENG-G4,Calibration Review,APD-INT-044,Talent Acquisition Partner,2026-02-02,2026-02-03,22.0,Yes,4.0,3.2,3.4,3.8,3.60,Composite and decision evidence reviewed in calibration
INT-2026-0345,CAND-2026-0087,REQ-2026-ENG-G4,Work Sample Review,APD-INT-045,Technical Assessor,2026-02-03,2026-02-05,33.0,Yes,3.3,3.7,4.1,4.0,3.78,Work sample evidence recorded against the controlled scoring key
INT-2026-0346,CAND-2026-0087,REQ-2026-ENG-G4,Structured Interview A,APD-INT-046,Hiring Manager,2026-02-05,2026-02-07,44.0,Yes,3.3,3.7,4.1,4.0,3.78,Behavioral evidence mapped to published BARS anchors
INT-2026-0347,CAND-2026-0087,REQ-2026-ENG-G4,Structured Interview B,APD-INT-047,Cross-functional Panelist,2026-02-07,2026-02-08,18.0,Yes,3.3,3.7,4.1,4.0,3.78,Independent follow-up evidence locked before panel release
INT-2026-0348,CAND-2026-0087,REQ-2026-ENG-G4,Calibration Review,APD-INT-048,Talent Acquisition Partner,2026-02-09,2026-02-11,29.0,Yes,3.3,3.7,4.1,4.0,3.78,Composite and decision evidence reviewed in calibration
INT-2026-0349,CAND-2026-0088,REQ-2026-ENG-G4,Work Sample Review,APD-INT-049,Technical Assessor,2026-01-28,2026-01-30,40.0,Yes,3.6,3.1,3.8,3.1,3.40,Work sample evidence recorded against the controlled scoring key
INT-2026-0350,CAND-2026-0088,REQ-2026-ENG-G4,Structured Interview A,APD-INT-050,Hiring Manager,2026-01-30,2026-01-31,14.0,Yes,3.6,3.1,3.8,3.1,3.40,Behavioral evidence mapped to published BARS anchors
INT-2026-0351,CAND-2026-0088,REQ-2026-ENG-G4,Structured Interview B,APD-INT-051,Cross-functional Panelist,2026-02-01,2026-02-03,25.0,Yes,3.6,3.1,3.8,3.1,3.40,Independent follow-up evidence locked before panel release
INT-2026-0352,CAND-2026-0088,REQ-2026-ENG-G4,Calibration Review,APD-INT-052,Talent Acquisition Partner,2026-02-03,2026-02-05,36.0,Yes,3.6,3.1,3.8,3.1,3.40,Composite and decision evidence reviewed in calibration
INT-2026-0353,CAND-2026-0089,REQ-2026-ENG-G4,Work Sample Review,APD-INT-053,Technical Assessor,2026-02-04,2026-02-06,47.0,Yes,3.9,3.6,3.5,3.3,3.58,Work sample evidence recorded against the controlled scoring key
INT-2026-0354,CAND-2026-0089,REQ-2026-ENG-G4,Structured Interview A,APD-INT-054,Hiring Manager,2026-02-06,2026-02-07,21.0,Yes,3.9,3.6,3.5,3.3,3.58,Behavioral evidence mapped to published BARS anchors
INT-2026-0355,CAND-2026-0089,REQ-2026-ENG-G4,Structured Interview B,APD-INT-055,Cross-functional Panelist,2026-02-08,2026-02-10,32.0,Yes,3.9,3.6,3.5,3.3,3.58,Independent follow-up evidence locked before panel release
INT-2026-0356,CAND-2026-0089,REQ-2026-ENG-G4,Calibration Review,APD-INT-056,Talent Acquisition Partner,2026-02-10,2026-02-12,43.0,Yes,3.9,3.6,3.5,3.3,3.58,Composite and decision evidence reviewed in calibration
INT-2026-0357,CAND-2026-0090,REQ-2026-ENG-G4,Work Sample Review,APD-INT-057,Technical Assessor,2026-01-29,2026-01-30,17.0,Yes,3.2,4.1,3.2,3.5,3.50,Work sample evidence recorded against the controlled scoring key
INT-2026-0358,CAND-2026-0090,REQ-2026-ENG-G4,Structured Interview A,APD-INT-058,Hiring Manager,2026-01-31,2026-02-02,28.0,Yes,3.2,4.1,3.2,3.5,3.50,Behavioral evidence mapped to published BARS anchors
INT-2026-0359,CAND-2026-0090,REQ-2026-ENG-G4,Structured Interview B,APD-INT-059,Cross-functional Panelist,2026-02-02,2026-02-04,39.0,Yes,3.2,4.1,3.2,3.5,3.50,Independent follow-up evidence locked before panel release
INT-2026-0360,CAND-2026-0090,REQ-2026-ENG-G4,Calibration Review,APD-INT-060,Talent Acquisition Partner,2026-02-04,2026-02-05,13.0,Yes,3.2,4.1,3.2,3.5,3.50,Composite and decision evidence reviewed in calibration
INT-2026-0361,CAND-2026-0091,REQ-2026-ENG-G4,Work Sample Review,APD-INT-001,Technical Assessor,2026-01-23,2026-01-24,24.0,Yes,3.5,3.5,3.9,3.7,3.65,Work sample evidence recorded against the controlled scoring key
INT-2026-0362,CAND-2026-0091,REQ-2026-ENG-G4,Structured Interview A,APD-INT-002,Hiring Manager,2026-01-25,2026-01-27,35.0,Yes,3.5,3.5,3.9,3.7,3.65,Behavioral evidence mapped to published BARS anchors
INT-2026-0363,CAND-2026-0091,REQ-2026-ENG-G4,Structured Interview B,APD-INT-003,Cross-functional Panelist,2026-01-27,2026-01-29,46.0,Yes,3.5,3.5,3.9,3.7,3.65,Independent follow-up evidence locked before panel release
INT-2026-0364,CAND-2026-0091,REQ-2026-ENG-G4,Calibration Review,APD-INT-004,Talent Acquisition Partner,2026-01-29,2026-01-30,20.0,Yes,3.5,3.5,3.9,3.7,3.65,Composite and decision evidence reviewed in calibration
INT-2026-0365,CAND-2026-0092,REQ-2026-ENG-G4,Work Sample Review,APD-INT-005,Technical Assessor,2026-01-30,2026-02-01,31.0,Yes,3.8,4.0,3.6,3.9,3.83,Work sample evidence recorded against the controlled scoring key
INT-2026-0366,CAND-2026-0092,REQ-2026-ENG-G4,Structured Interview A,APD-INT-006,Hiring Manager,2026-02-01,2026-02-03,42.0,Yes,3.8,4.0,3.6,3.9,3.83,Behavioral evidence mapped to published BARS anchors
INT-2026-0367,CAND-2026-0092,REQ-2026-ENG-G4,Structured Interview B,APD-INT-007,Cross-functional Panelist,2026-02-03,2026-02-04,16.0,Yes,3.8,4.0,3.6,3.9,3.83,Independent follow-up evidence locked before panel release
INT-2026-0368,CAND-2026-0092,REQ-2026-ENG-G4,Calibration Review,APD-INT-008,Talent Acquisition Partner,2026-02-05,2026-02-07,27.0,Yes,3.8,4.0,3.6,3.9,3.83,Composite and decision evidence reviewed in calibration
INT-2026-0369,CAND-2026-0093,REQ-2026-ENG-G4,Work Sample Review,APD-INT-009,Technical Assessor,2026-01-24,2026-01-26,38.0,Yes,4.1,3.4,3.3,4.1,3.73,Work sample evidence recorded against the controlled scoring key
INT-2026-0370,CAND-2026-0093,REQ-2026-ENG-G4,Structured Interview A,APD-INT-010,Hiring Manager,2026-01-26,2026-01-27,12.0,Yes,4.1,3.4,3.3,4.1,3.73,Behavioral evidence mapped to published BARS anchors
INT-2026-0371,CAND-2026-0093,REQ-2026-ENG-G4,Structured Interview B,APD-INT-011,Cross-functional Panelist,2026-01-28,2026-01-29,23.0,Yes,4.1,3.4,3.3,4.1,3.73,Independent follow-up evidence locked before panel release
INT-2026-0372,CAND-2026-0093,REQ-2026-ENG-G4,Calibration Review,APD-INT-012,Talent Acquisition Partner,2026-01-30,2026-02-01,34.0,Yes,4.1,3.4,3.3,4.1,3.73,Composite and decision evidence reviewed in calibration
INT-2026-0373,CAND-2026-0094,REQ-2026-ENG-G4,Work Sample Review,APD-INT-013,Technical Assessor,2026-01-31,2026-02-02,45.0,Yes,3.4,3.9,4.0,3.2,3.63,Work sample evidence recorded against the controlled scoring key
INT-2026-0374,CAND-2026-0094,REQ-2026-ENG-G4,Structured Interview A,APD-INT-014,Hiring Manager,2026-02-02,2026-02-03,19.0,Yes,3.4,3.9,4.0,3.2,3.63,Behavioral evidence mapped to published BARS anchors
INT-2026-0375,CAND-2026-0094,REQ-2026-ENG-G4,Structured Interview B,APD-INT-015,Cross-functional Panelist,2026-02-04,2026-02-06,30.0,Yes,3.4,3.9,4.0,3.2,3.63,Independent follow-up evidence locked before panel release
INT-2026-0376,CAND-2026-0094,REQ-2026-ENG-G4,Calibration Review,APD-INT-016,Talent Acquisition Partner,2026-02-06,2026-02-08,41.0,Yes,3.4,3.9,4.0,3.2,3.63,Composite and decision evidence reviewed in calibration
INT-2026-0377,CAND-2026-0095,REQ-2026-ENG-G4,Work Sample Review,APD-INT-017,Technical Assessor,2026-01-25,2026-01-26,15.0,Yes,3.7,3.3,3.7,3.4,3.53,Work sample evidence recorded against the controlled scoring key
INT-2026-0378,CAND-2026-0095,REQ-2026-ENG-G4,Structured Interview A,APD-INT-018,Hiring Manager,2026-01-27,2026-01-29,26.0,Yes,3.7,3.3,3.7,3.4,3.53,Behavioral evidence mapped to published BARS anchors
INT-2026-0379,CAND-2026-0095,REQ-2026-ENG-G4,Structured Interview B,APD-INT-019,Cross-functional Panelist,2026-01-29,2026-02-01,62.0,No,3.7,3.3,3.7,3.4,3.53,Independent follow-up evidence locked before panel release
INT-2026-0380,CAND-2026-0095,REQ-2026-ENG-G4,Calibration Review,APD-INT-020,Talent Acquisition Partner,2026-01-31,2026-02-03,69.0,No,3.7,3.3,3.7,3.4,3.53,Composite and decision evidence reviewed in calibration
INT-2026-0381,CAND-2026-0096,REQ-2026-ENG-G4,Work Sample Review,APD-INT-021,Technical Assessor,2026-02-01,2026-02-04,52.0,No,4.0,3.8,3.4,3.6,3.70,Work sample evidence recorded against the controlled scoring key
INT-2026-0382,CAND-2026-0096,REQ-2026-ENG-G4,Structured Interview A,APD-INT-022,Hiring Manager,2026-02-03,2026-02-06,59.0,No,4.0,3.8,3.4,3.6,3.70,Behavioral evidence mapped to published BARS anchors
INT-2026-0383,CAND-2026-0096,REQ-2026-ENG-G4,Structured Interview B,APD-INT-023,Cross-functional Panelist,2026-02-05,2026-02-07,44.0,Yes,4.0,3.8,3.4,3.6,3.70,Independent follow-up evidence locked before panel release
INT-2026-0384,CAND-2026-0096,REQ-2026-ENG-G4,Calibration Review,APD-INT-024,Talent Acquisition Partner,2026-02-07,2026-02-08,18.0,Yes,4.0,3.8,3.4,3.6,3.70,Composite and decision evidence reviewed in calibration
INT-2026-0385,CAND-2026-0097,REQ-2026-ENG-G4,Work Sample Review,APD-INT-025,Technical Assessor,2026-01-26,2026-01-28,29.0,Yes,3.3,3.2,4.1,3.8,3.60,Work sample evidence recorded against the controlled scoring key
INT-2026-0386,CAND-2026-0097,REQ-2026-ENG-G4,Structured Interview A,APD-INT-026,Hiring Manager,2026-01-28,2026-01-30,40.0,Yes,3.3,3.2,4.1,3.8,3.60,Behavioral evidence mapped to published BARS anchors
INT-2026-0387,CAND-2026-0097,REQ-2026-ENG-G4,Structured Interview B,APD-INT-027,Cross-functional Panelist,2026-01-30,2026-01-31,14.0,Yes,3.3,3.2,4.1,3.8,3.60,Independent follow-up evidence locked before panel release
INT-2026-0388,CAND-2026-0097,REQ-2026-ENG-G4,Calibration Review,APD-INT-028,Talent Acquisition Partner,2026-02-01,2026-02-03,25.0,Yes,3.3,3.2,4.1,3.8,3.60,Composite and decision evidence reviewed in calibration
INT-2026-0389,CAND-2026-0098,REQ-2026-ENG-G4,Work Sample Review,APD-INT-029,Technical Assessor,2026-02-02,2026-02-04,36.0,Yes,3.6,3.7,3.8,4.0,3.78,Work sample evidence recorded against the controlled scoring key
INT-2026-0390,CAND-2026-0098,REQ-2026-ENG-G4,Structured Interview A,APD-INT-030,Hiring Manager,2026-02-04,2026-02-06,47.0,Yes,3.6,3.7,3.8,4.0,3.78,Behavioral evidence mapped to published BARS anchors
INT-2026-0391,CAND-2026-0098,REQ-2026-ENG-G4,Structured Interview B,APD-INT-031,Cross-functional Panelist,2026-02-06,2026-02-07,21.0,Yes,3.6,3.7,3.8,4.0,3.78,Independent follow-up evidence locked before panel release
INT-2026-0392,CAND-2026-0098,REQ-2026-ENG-G4,Calibration Review,APD-INT-032,Talent Acquisition Partner,2026-02-08,2026-02-10,32.0,Yes,3.6,3.7,3.8,4.0,3.78,Composite and decision evidence reviewed in calibration
INT-2026-0393,CAND-2026-0099,REQ-2026-ENG-G4,Work Sample Review,APD-INT-033,Technical Assessor,2026-01-27,2026-01-29,43.0,Yes,3.9,3.1,3.5,3.1,3.40,Work sample evidence recorded against the controlled scoring key
INT-2026-0394,CAND-2026-0099,REQ-2026-ENG-G4,Structured Interview A,APD-INT-034,Hiring Manager,2026-01-29,2026-01-30,17.0,Yes,3.9,3.1,3.5,3.1,3.40,Behavioral evidence mapped to published BARS anchors
INT-2026-0395,CAND-2026-0099,REQ-2026-ENG-G4,Structured Interview B,APD-INT-035,Cross-functional Panelist,2026-01-31,2026-02-02,28.0,Yes,3.9,3.1,3.5,3.1,3.40,Independent follow-up evidence locked before panel release
INT-2026-0396,CAND-2026-0099,REQ-2026-ENG-G4,Calibration Review,APD-INT-036,Talent Acquisition Partner,2026-02-02,2026-02-04,39.0,Yes,3.9,3.1,3.5,3.1,3.40,Composite and decision evidence reviewed in calibration
INT-2026-0397,CAND-2026-0100,REQ-2026-ENG-G4,Work Sample Review,APD-INT-037,Technical Assessor,2026-02-03,2026-02-04,13.0,Yes,3.2,3.6,3.2,3.3,3.33,Work sample evidence recorded against the controlled scoring key
INT-2026-0398,CAND-2026-0100,REQ-2026-ENG-G4,Structured Interview A,APD-INT-038,Hiring Manager,2026-02-05,2026-02-06,24.0,Yes,3.2,3.6,3.2,3.3,3.33,Behavioral evidence mapped to published BARS anchors
INT-2026-0399,CAND-2026-0100,REQ-2026-ENG-G4,Structured Interview B,APD-INT-039,Cross-functional Panelist,2026-02-07,2026-02-09,35.0,Yes,3.2,3.6,3.2,3.3,3.33,Independent follow-up evidence locked before panel release
INT-2026-0400,CAND-2026-0100,REQ-2026-ENG-G4,Calibration Review,APD-INT-040,Talent Acquisition Partner,2026-02-09,2026-02-11,46.0,Yes,3.2,3.6,3.2,3.3,3.33,Composite and decision evidence reviewed in calibration
INT-2026-0401,CAND-2026-0801,REQ-2026-ENG-G1,Work Sample Review,APD-INT-041,Technical Assessor,2026-02-04,2026-02-05,20.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-0402,CAND-2026-0801,REQ-2026-ENG-G1,Structured Interview A,APD-INT-042,Hiring Manager,2026-02-06,2026-02-08,31.0,Yes,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-0403,CAND-2026-0801,REQ-2026-ENG-G1,Structured Interview B,APD-INT-043,Cross-functional Panelist,2026-02-08,2026-02-10,42.0,Yes,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
INT-2026-0404,CAND-2026-0801,REQ-2026-ENG-G1,Calibration Review,APD-INT-044,Talent Acquisition Partner,2026-02-10,2026-02-11,16.0,Yes,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-0405,CAND-2026-0802,REQ-2026-ENG-G1,Work Sample Review,APD-INT-045,Technical Assessor,2026-01-29,2026-01-31,27.0,Yes,4.6,4.7,4.8,4.4,4.63,Work sample evidence recorded against the controlled scoring key
INT-2026-0406,CAND-2026-0802,REQ-2026-ENG-G1,Structured Interview A,APD-INT-046,Hiring Manager,2026-01-31,2026-02-02,38.0,Yes,4.6,4.7,4.8,4.4,4.63,Behavioral evidence mapped to published BARS anchors
INT-2026-0407,CAND-2026-0802,REQ-2026-ENG-G1,Structured Interview B,APD-INT-047,Cross-functional Panelist,2026-02-02,2026-02-03,12.0,Yes,4.6,4.7,4.8,4.4,4.63,Independent follow-up evidence locked before panel release
INT-2026-0408,CAND-2026-0802,REQ-2026-ENG-G1,Calibration Review,APD-INT-048,Talent Acquisition Partner,2026-02-04,2026-02-05,23.0,Yes,4.6,4.7,4.8,4.4,4.63,Composite and decision evidence reviewed in calibration
INT-2026-0409,CAND-2026-0803,REQ-2026-ENG-G1,Work Sample Review,APD-INT-049,Technical Assessor,2026-02-05,2026-02-07,34.0,Yes,4.7,4.8,4.4,4.5,4.60,Work sample evidence recorded against the controlled scoring key
INT-2026-0410,CAND-2026-0803,REQ-2026-ENG-G1,Structured Interview A,APD-INT-050,Hiring Manager,2026-02-07,2026-02-09,45.0,Yes,4.7,4.8,4.4,4.5,4.60,Behavioral evidence mapped to published BARS anchors
INT-2026-0411,CAND-2026-0803,REQ-2026-ENG-G1,Structured Interview B,APD-INT-051,Cross-functional Panelist,2026-02-09,2026-02-10,19.0,Yes,4.7,4.8,4.4,4.5,4.60,Independent follow-up evidence locked before panel release
INT-2026-0412,CAND-2026-0803,REQ-2026-ENG-G1,Calibration Review,APD-INT-052,Talent Acquisition Partner,2026-02-11,2026-02-13,30.0,Yes,4.7,4.8,4.4,4.5,4.60,Composite and decision evidence reviewed in calibration
INT-2026-0413,CAND-2026-0804,REQ-2026-ENG-G1,Work Sample Review,APD-INT-053,Technical Assessor,2026-01-30,2026-02-01,41.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-0414,CAND-2026-0804,REQ-2026-ENG-G1,Structured Interview A,APD-INT-054,Hiring Manager,2026-02-01,2026-02-02,15.0,Yes,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-0415,CAND-2026-0804,REQ-2026-ENG-G1,Structured Interview B,APD-INT-055,Cross-functional Panelist,2026-02-03,2026-02-05,26.0,Yes,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
INT-2026-0416,CAND-2026-0804,REQ-2026-ENG-G1,Calibration Review,APD-INT-056,Talent Acquisition Partner,2026-02-05,2026-02-07,37.0,Yes,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-0417,CAND-2026-0805,REQ-2026-ENG-G1,Work Sample Review,APD-INT-057,Technical Assessor,2026-02-06,2026-02-08,48.0,Yes,4.6,4.7,4.8,4.4,4.63,Work sample evidence recorded against the controlled scoring key
INT-2026-0418,CAND-2026-0805,REQ-2026-ENG-G1,Structured Interview A,APD-INT-058,Hiring Manager,2026-02-08,2026-02-09,22.0,Yes,4.6,4.7,4.8,4.4,4.63,Behavioral evidence mapped to published BARS anchors
INT-2026-0419,CAND-2026-0805,REQ-2026-ENG-G1,Structured Interview B,APD-INT-059,Cross-functional Panelist,2026-02-10,2026-02-12,33.0,Yes,4.6,4.7,4.8,4.4,4.63,Independent follow-up evidence locked before panel release
INT-2026-0420,CAND-2026-0805,REQ-2026-ENG-G1,Calibration Review,APD-INT-060,Talent Acquisition Partner,2026-02-12,2026-02-14,44.0,Yes,4.6,4.7,4.8,4.4,4.63,Composite and decision evidence reviewed in calibration
INT-2026-0421,CAND-2026-0806,REQ-2026-ENG-G1,Work Sample Review,APD-INT-001,Technical Assessor,2026-01-31,2026-02-01,18.0,Yes,4.8,4.4,4.5,4.6,4.58,Work sample evidence recorded against the controlled scoring key
INT-2026-0422,CAND-2026-0806,REQ-2026-ENG-G1,Structured Interview A,APD-INT-002,Hiring Manager,2026-02-02,2026-02-04,29.0,Yes,4.8,4.4,4.5,4.6,4.58,Behavioral evidence mapped to published BARS anchors
INT-2026-0423,CAND-2026-0806,REQ-2026-ENG-G1,Structured Interview B,APD-INT-003,Cross-functional Panelist,2026-02-04,2026-02-06,40.0,Yes,4.8,4.4,4.5,4.6,4.58,Independent follow-up evidence locked before panel release
INT-2026-0424,CAND-2026-0806,REQ-2026-ENG-G1,Calibration Review,APD-INT-004,Talent Acquisition Partner,2026-02-06,2026-02-07,14.0,Yes,4.8,4.4,4.5,4.6,4.58,Composite and decision evidence reviewed in calibration
INT-2026-0425,CAND-2026-0807,REQ-2026-ENG-G1,Work Sample Review,APD-INT-005,Technical Assessor,2026-02-07,2026-02-09,25.0,Yes,4.4,4.5,4.6,4.7,4.55,Work sample evidence recorded against the controlled scoring key
INT-2026-0426,CAND-2026-0807,REQ-2026-ENG-G1,Structured Interview A,APD-INT-006,Hiring Manager,2026-02-09,2026-02-11,36.0,Yes,4.4,4.5,4.6,4.7,4.55,Behavioral evidence mapped to published BARS anchors
INT-2026-0427,CAND-2026-0807,REQ-2026-ENG-G1,Structured Interview B,APD-INT-007,Cross-functional Panelist,2026-02-11,2026-02-13,47.0,Yes,4.4,4.5,4.6,4.7,4.55,Independent follow-up evidence locked before panel release
INT-2026-0428,CAND-2026-0807,REQ-2026-ENG-G1,Calibration Review,APD-INT-008,Talent Acquisition Partner,2026-02-13,2026-02-14,21.0,Yes,4.4,4.5,4.6,4.7,4.55,Composite and decision evidence reviewed in calibration
INT-2026-0429,CAND-2026-0808,REQ-2026-ENG-G1,Work Sample Review,APD-INT-009,Technical Assessor,2026-02-01,2026-02-03,32.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
INT-2026-0430,CAND-2026-0808,REQ-2026-ENG-G1,Structured Interview A,APD-INT-010,Hiring Manager,2026-02-03,2026-02-05,43.0,Yes,4.5,4.6,4.7,4.8,4.65,Behavioral evidence mapped to published BARS anchors
INT-2026-0431,CAND-2026-0808,REQ-2026-ENG-G1,Structured Interview B,APD-INT-011,Cross-functional Panelist,2026-02-05,2026-02-06,17.0,Yes,4.5,4.6,4.7,4.8,4.65,Independent follow-up evidence locked before panel release
INT-2026-0432,CAND-2026-0808,REQ-2026-ENG-G1,Calibration Review,APD-INT-012,Talent Acquisition Partner,2026-02-07,2026-02-09,28.0,Yes,4.5,4.6,4.7,4.8,4.65,Composite and decision evidence reviewed in calibration
INT-2026-0433,CAND-2026-0809,REQ-2026-ENG-G1,Work Sample Review,APD-INT-013,Technical Assessor,2026-02-08,2026-02-11,56.0,No,4.7,4.8,4.4,4.5,4.60,Work sample evidence recorded against the controlled scoring key
INT-2026-0434,CAND-2026-0809,REQ-2026-ENG-G1,Structured Interview A,APD-INT-014,Hiring Manager,2026-02-10,2026-02-13,63.0,No,4.7,4.8,4.4,4.5,4.60,Behavioral evidence mapped to published BARS anchors
INT-2026-0435,CAND-2026-0809,REQ-2026-ENG-G1,Structured Interview B,APD-INT-015,Cross-functional Panelist,2026-02-12,2026-02-15,70.0,No,4.7,4.8,4.4,4.5,4.60,Independent follow-up evidence locked before panel release
INT-2026-0436,CAND-2026-0809,REQ-2026-ENG-G1,Calibration Review,APD-INT-016,Talent Acquisition Partner,2026-02-14,2026-02-17,53.0,No,4.7,4.8,4.4,4.5,4.60,Composite and decision evidence reviewed in calibration
INT-2026-0437,CAND-2026-0810,REQ-2026-ENG-G1,Work Sample Review,APD-INT-017,Technical Assessor,2026-02-02,2026-02-04,46.0,Yes,4.8,4.4,4.5,4.6,4.58,Work sample evidence recorded against the controlled scoring key
INT-2026-0438,CAND-2026-0810,REQ-2026-ENG-G1,Structured Interview A,APD-INT-018,Hiring Manager,2026-02-04,2026-02-05,20.0,Yes,4.8,4.4,4.5,4.6,4.58,Behavioral evidence mapped to published BARS anchors
INT-2026-0439,CAND-2026-0810,REQ-2026-ENG-G1,Structured Interview B,APD-INT-019,Cross-functional Panelist,2026-02-06,2026-02-08,31.0,Yes,4.8,4.4,4.5,4.6,4.58,Independent follow-up evidence locked before panel release
INT-2026-0440,CAND-2026-0810,REQ-2026-ENG-G1,Calibration Review,APD-INT-020,Talent Acquisition Partner,2026-02-08,2026-02-10,42.0,Yes,4.8,4.4,4.5,4.6,4.58,Composite and decision evidence reviewed in calibration
INT-2026-0441,CAND-2026-0811,REQ-2026-ENG-G1,Work Sample Review,APD-INT-021,Technical Assessor,2026-02-09,2026-02-10,16.0,Yes,4.6,4.7,4.8,4.4,4.63,Work sample evidence recorded against the controlled scoring key
INT-2026-0442,CAND-2026-0811,REQ-2026-ENG-G1,Structured Interview A,APD-INT-022,Hiring Manager,2026-02-11,2026-02-13,27.0,Yes,4.6,4.7,4.8,4.4,4.63,Behavioral evidence mapped to published BARS anchors
INT-2026-0443,CAND-2026-0811,REQ-2026-ENG-G1,Structured Interview B,APD-INT-023,Cross-functional Panelist,2026-02-13,2026-02-15,38.0,Yes,4.6,4.7,4.8,4.4,4.63,Independent follow-up evidence locked before panel release
INT-2026-0444,CAND-2026-0811,REQ-2026-ENG-G1,Calibration Review,APD-INT-024,Talent Acquisition Partner,2026-02-15,2026-02-16,12.0,Yes,4.6,4.7,4.8,4.4,4.63,Composite and decision evidence reviewed in calibration
INT-2026-0445,CAND-2026-0812,REQ-2026-ENG-G1,Work Sample Review,APD-INT-025,Technical Assessor,2026-02-03,2026-02-04,23.0,Yes,4.7,4.8,4.4,4.5,4.60,Work sample evidence recorded against the controlled scoring key
INT-2026-0446,CAND-2026-0812,REQ-2026-ENG-G1,Structured Interview A,APD-INT-026,Hiring Manager,2026-02-05,2026-02-07,34.0,Yes,4.7,4.8,4.4,4.5,4.60,Behavioral evidence mapped to published BARS anchors
INT-2026-0447,CAND-2026-0812,REQ-2026-ENG-G1,Structured Interview B,APD-INT-027,Cross-functional Panelist,2026-02-07,2026-02-09,45.0,Yes,4.7,4.8,4.4,4.5,4.60,Independent follow-up evidence locked before panel release
INT-2026-0448,CAND-2026-0812,REQ-2026-ENG-G1,Calibration Review,APD-INT-028,Talent Acquisition Partner,2026-02-09,2026-02-10,19.0,Yes,4.7,4.8,4.4,4.5,4.60,Composite and decision evidence reviewed in calibration
INT-2026-0449,CAND-2026-0813,REQ-2026-ENG-G1,Work Sample Review,APD-INT-029,Technical Assessor,2026-01-28,2026-01-30,30.0,Yes,4.8,4.4,4.5,4.6,4.58,Work sample evidence recorded against the controlled scoring key
INT-2026-0450,CAND-2026-0813,REQ-2026-ENG-G1,Structured Interview A,APD-INT-030,Hiring Manager,2026-01-30,2026-02-01,41.0,Yes,4.8,4.4,4.5,4.6,4.58,Behavioral evidence mapped to published BARS anchors
INT-2026-0451,CAND-2026-0813,REQ-2026-ENG-G1,Structured Interview B,APD-INT-031,Cross-functional Panelist,2026-02-01,2026-02-02,15.0,Yes,4.8,4.4,4.5,4.6,4.58,Independent follow-up evidence locked before panel release
INT-2026-0452,CAND-2026-0813,REQ-2026-ENG-G1,Calibration Review,APD-INT-032,Talent Acquisition Partner,2026-02-03,2026-02-05,26.0,Yes,4.8,4.4,4.5,4.6,4.58,Composite and decision evidence reviewed in calibration
INT-2026-0453,CAND-2026-0814,REQ-2026-ENG-G1,Work Sample Review,APD-INT-033,Technical Assessor,2026-02-04,2026-02-06,37.0,Yes,4.4,4.5,4.6,4.7,4.55,Work sample evidence recorded against the controlled scoring key
INT-2026-0454,CAND-2026-0814,REQ-2026-ENG-G1,Structured Interview A,APD-INT-034,Hiring Manager,2026-02-06,2026-02-08,48.0,Yes,4.4,4.5,4.6,4.7,4.55,Behavioral evidence mapped to published BARS anchors
INT-2026-0455,CAND-2026-0814,REQ-2026-ENG-G1,Structured Interview B,APD-INT-035,Cross-functional Panelist,2026-02-08,2026-02-09,22.0,Yes,4.4,4.5,4.6,4.7,4.55,Independent follow-up evidence locked before panel release
INT-2026-0456,CAND-2026-0814,REQ-2026-ENG-G1,Calibration Review,APD-INT-036,Talent Acquisition Partner,2026-02-10,2026-02-12,33.0,Yes,4.4,4.5,4.6,4.7,4.55,Composite and decision evidence reviewed in calibration
INT-2026-0457,CAND-2026-0815,REQ-2026-ENG-G1,Work Sample Review,APD-INT-037,Technical Assessor,2026-01-29,2026-01-31,44.0,Yes,4.5,4.6,4.7,4.8,4.65,Work sample evidence recorded against the controlled scoring key
